question_id,title,description,tags,accepted_answer_id,view_count,creation_date,clean_title,clean_description,combined_text
79100835,How can I adjust the performance of tokenizer?,,"nlp,huggingface-transformers,huggingface,huggingface-tokenizers",79107575,50,1729233915,adjust performance tokenizer,nan,adjust performance tokenizer nan
79081924,"With spaCy, how can I get all lemmas from a string?",,"python,pandas,nlp,spacy,lemmatization",79086290,105,1728767001,spacy get lemmas string,nan,spacy get lemmas string nan
79057082,Avoiding overlap in frequency and document frequency count in Quanteda,,"r,count,nlp,overlap,quanteda",79058791,61,1728132232,avoiding overlap frequency document frequency count quanteda,nan,avoiding overlap frequency document frequency count quanteda nan
79005985,Seq2Seq trainer.train() keeps giving indexing error,,"python,nlp,huggingface-transformers,huggingface-trainer",79007590,57,1726821812,seq2seq trainertrain keeps giving indexing error,nan,seq2seq trainertrain keeps giving indexing error nan
78985137,Alternative to device_map = &quot;auto&quot; in Huggingface Pretrained,,"machine-learning,deep-learning,nlp,huggingface-transformers",79007343,1084,1726317723,alternative devicemap quotautoquot huggingface pretrained,nan,alternative devicemap quotautoquot huggingface pretrained nan
78966943,How are the weights of the Mistral models reinitialized in Huggingface?,,"nlp,huggingface-transformers,large-language-model,mistral-7b",78969695,185,1725909952,weights mistral models reinitialized huggingface,nan,weights mistral models reinitialized huggingface nan
78957322,Break after first PER sequence found with Spacy,,"python,nlp,spacy",78957722,43,1725628472,break first per sequence found spacy,nan,break first per sequence found spacy nan
78949607,Trainer huggingface - RuntimeError: cannot pin &#39;torch.cuda.FloatTensor&#39; only dense CPU tensors can be pinned,,"nlp,huggingface-transformers",79112186,1516,1725466158,trainer huggingface runtimeerror pin 39torchcudafloattensor39 dense cpu tensors pinned,nan,trainer huggingface runtimeerror pin 39torchcudafloattensor39 dense cpu tensors pinned nan
78943401,Fine-tuning a Pretrained Model with Quantization and AMP: Scaler Error &quot;Attempting to Unscale FP16 Gradients&quot;,,"python,pytorch,nlp,huggingface-transformers,fine-tuning",78945455,518,1725352703,finetuning pretrained model quantization amp scaler error quotattempting unscale fp16 gradientsquot,nan,finetuning pretrained model quantization amp scaler error quotattempting unscale fp16 gradientsquot nan
78933232,Keep training pytorch model on new data,,"python,scikit-learn,pytorch,nlp,python-polars",78934212,284,1725040079,keep training pytorch model new data,nan,keep training pytorch model new data nan
78932356,Capitalized words in sentiment analysis,,"nlp,sentiment-analysis,bert-language-model,data-preprocessing",78933236,135,1725025796,capitalized words sentiment analysis,nan,capitalized words sentiment analysis nan
78920095,cannot import name &#39;split_torch_state_dict_into_shards&#39; from &#39;huggingface_hub&#39;,,"python,nlp,huggingface-transformers,transformer-model,llama",78920098,6146,1724779242,import name 39splittorchstatedictintoshards39 39huggingfacehub39,nan,import name 39splittorchstatedictintoshards39 39huggingfacehub39 nan
78917743,How to Process Data on GPU Instead of RAM for This Python Code?,,"nlp,gpu,torch,openai-whisper",78918851,64,1724745808,process data gpu instead ram python code,nan,process data gpu instead ram python code nan
78912171,How to Visualize Cross-Attention Matrices in MarianMTModel During Output Generation,,"python,pytorch,nlp,huggingface-transformers",78915504,403,1724616834,visualize crossattention matrices marianmtmodel output generation,nan,visualize crossattention matrices marianmtmodel output generation nan
78905614,Why doesn&#39;t permuting positional encodings in BERT affect the output as expected?,,"python,pytorch,nlp,huggingface-transformers",78906902,80,1724411528,doesn39t permuting positional encodings bert affect output expected,nan,doesn39t permuting positional encodings bert affect output expected nan
78901998,How does OpenAIEmbeddings() work? Is it creating a single vector of size 1536 for whole text corpus?,,"deep-learning,nlp,openai-api,openaiembeddings",78902136,620,1724335765,openaiembeddings work creating single vector size 1536 whole text corpus,nan,openaiembeddings work creating single vector size 1536 whole text corpus nan
78895710,"NER versus LLM to extract name, gender, role and company from text",,"nlp,large-language-model,named-entity-recognition",78896098,1632,1724225953,ner versus llm extract name gender role company text,nan,ner versus llm extract name gender role company text nan
78887743,Does Padding in a Batch of Sequences Affect Performance? How Effective is the Attention Mask?,,"pytorch,nlp,huggingface-transformers,transformer-model",78890409,546,1724068146,padding batch sequences affect performance effective attention mask,nan,padding batch sequences affect performance effective attention mask nan
78865486,SpaCy Matcher with optional suffix in pattern reports multiple matches on same text,,"nlp,spacy,matcher",78870921,39,1723541843,spacy matcher optional suffix pattern reports multiple matches text,nan,spacy matcher optional suffix pattern reports multiple matches text nan
78862691,`mlflow.transformers.log_model()` does not finish,,"python,nlp,huggingface-transformers,mlflow,mlops",78877979,354,1723480052,mlflowtransformerslogmodel finish,nan,mlflowtransformerslogmodel finish nan
78853409,NLLB Fine-Tuning Error: Missing data_prefix Configuration (English-German Translation),,"python,nlp,machine-translation,fine-tuning,fairseq",78854613,160,1723214814,nllb finetuning error missing dataprefix configuration englishgerman translation,nan,nllb finetuning error missing dataprefix configuration englishgerman translation nan
78846004,How can I use structured_output with Azure OpenAI with the openai Python library?,,"python,nlp,azure-openai,gpt-4",78946352,1227,1723072459,use structuredoutput azure openai openai python library,nan,use structuredoutput azure openai openai python library nan
78836208,Removing bi-grams after tokenization for TfidfVectorizer,,"python,scikit-learn,nlp,preprocessor,tfidfvectorizer",78837616,42,1722887200,removing bigrams tokenization tfidfvectorizer,nan,removing bigrams tokenization tfidfvectorizer nan
78823069,HuggingFace LLM Evaluate: RuntimeError: isin_Tensor_Tensor_out only works on floating types on MPS for pre MacOS_14_0. Received dtype: Long,,"pytorch,nlp,apple-m1,huggingface,huggingface-evaluate",78875218,859,1722547156,huggingface llm evaluate runtimeerror isintensortensorout works floating types mps pre macos140 received dtype long,nan,huggingface llm evaluate runtimeerror isintensortensorout works floating types mps pre macos140 received dtype long nan
78809281,ImportError: cannot import name &#39;pre_init&#39; from &#39;langchain_core.utils&#39;,,"python,pip,nlp,langchain,large-language-model",78809283,1817,1722293953,importerror import name 39preinit39 39langchaincoreutils39,nan,importerror import name 39preinit39 39langchaincoreutils39 nan
78778988,Do I need to use Named Entity Recognition (NER) in tokenization?,,"python,python-3.x,nlp,spacy,named-entity-recognition",78780820,385,1721654894,need use named entity recognition ner tokenization,nan,need use named entity recognition ner tokenization nan
78773758,"IndexError: list index out of range, when trying to predict from the fine tuned model using Hugginface",,"nlp,huggingface-transformers,huggingface,fine-tuning",78775082,115,1721504683,indexerror list index range trying predict fine tuned model using hugginface,nan,indexerror list index range trying predict fine tuned model using hugginface nan
78710185,not able END function using &quot;add_conditional_edges&quot; in lang graph,,"nlp,langchain,langgraph",78713763,1997,1720164558,able end function using quotaddconditionaledgesquot lang graph,nan,able end function using quotaddconditionaledgesquot lang graph nan
78707861,How to make dynamic API calls based on user input in a Gemini application python nlp?,,"python,nlp,request,google-cloud-vertex-ai,google-gemini",78708210,458,1720105878,make dynamic api calls based user input gemini application python nlp,nan,make dynamic api calls based user input gemini application python nlp nan
78685093,Alternative to Receptive field in Transformers and what factors impact it,,"nlp,huggingface-transformers,receptive-field",78687012,147,1719637110,alternative receptive field transformers factors impact,nan,alternative receptive field transformers factors impact nan
78661728,implement a search engine chain using tavily in langchain,,"python,nlp,search-engine,langchain,chain",78910571,520,1719223266,implement search engine chain using tavily langchain,nan,implement search engine chain using tavily langchain nan
78639577,Understanding the results of Transformers Learn In Context with Gradient Descent,,"machine-learning,nlp,large-language-model,transformer-model,meta-learning",78645188,137,1718743425,understanding results transformers learn context gradient descent,nan,understanding results transformers learn context gradient descent nan
78631769,Problems with Named Entity Recognition in spaCy using German de_dep_news_trf Pipeline,,"python,nlp,spacy",78632377,201,1718615669,problems named entity recognition spacy using german dedepnewstrf pipeline,nan,problems named entity recognition spacy using german dedepnewstrf pipeline nan
78612251,How do we add/modify the normalizer in a pretrained Huggingface tokenizer?,,"python,nlp,large-language-model,huggingface-tokenizers",78624238,312,1718190239,addmodify normalizer pretrained huggingface tokenizer,nan,addmodify normalizer pretrained huggingface tokenizer nan
78586621,HuggingFace pipeline - Debug prompt,,"python,nlp,huggingface-transformers",78587273,384,1717677407,huggingface pipeline debug prompt,nan,huggingface pipeline debug prompt nan
78575305,AttributeError: &#39;TrainingArguments&#39; object has no attribute &#39;model_init_kwargs&#39;,,"python,nlp,huggingface-transformers,large-language-model,peft",78578835,4589,1717502794,attributeerror 39trainingarguments39 object attribute 39modelinitkwargs39,nan,attributeerror 39trainingarguments39 object attribute 39modelinitkwargs39 nan
78573280,Unable to fit new documents without running out of memory in STM topic modeling,,"r,nlp,lda,stm",78573322,25,1717472515,unable fit new documents without running memory stm topic modeling,nan,unable fit new documents without running memory stm topic modeling nan
78552651,How to fix error `OSError: &lt;model&gt; does not appear to have a file named config.json.` when loading custom fine-tuned model?,,"pytorch,nlp,huggingface-transformers,large-language-model,peft",78564203,3064,1717036616,fix error oserror ltmodelgt appear file named configjson loading custom finetuned model,nan,fix error oserror ltmodelgt appear file named configjson loading custom finetuned model nan
78538749,Not able to install spacy==2.3.5 version,,"python,parsing,pip,nlp,spacy",78541534,213,1716808809,able install spacy235 version,nan,able install spacy235 version nan
78525770,Filtering stop words out of a multiple text files (using a list of stop words),,"python,nlp",78527729,44,1716502512,filtering stop words multiple text files using list stop words,nan,filtering stop words multiple text files using list stop words nan
78489915,How to lemmatize text column in pandas dataframes using stanza?,,"pandas,nlp,tokenize,lemmatization,stanza",78491545,72,1715862890,lemmatize text column pandas dataframes using stanza,nan,lemmatize text column pandas dataframes using stanza nan
78485347,Encode a list of sentences into embeddings using a HuggingFace model not in its hub,,"nlp,huggingface-transformers,encode,embedding,huggingface",78502336,771,1715791179,encode list sentences embeddings using huggingface model hub,nan,encode list sentences embeddings using huggingface model hub nan
78461078,How to optimize this function and improve running time?,,"python,performance,optimization,nlp,nltk",78461789,47,1715354280,optimize function improve running time,nan,optimize function improve running time nan
78455102,Why doesn&#39;t fuzzywuzzy&#39;s process.extractBests give a 100% score when the tested string 100% contains the query string?,,"python,nlp,string-matching,fuzzywuzzy",78455186,76,1715264676,doesn39t fuzzywuzzy39s processextractbests give 100 score tested string 100 contains query string,nan,doesn39t fuzzywuzzy39s processextractbests give 100 score tested string 100 contains query string nan
78443980,FastText language_identification in R returns too many arguments - how to match to texts?,,"r,nlp,fasttext,language-detection",78444037,132,1715100381,fasttext languageidentification r returns many arguments match texts,nan,fasttext languageidentification r returns many arguments match texts nan
78430524,Determining contents of decoder_hidden_states from T5ForConditionalGeneration,,"pytorch,nlp,huggingface-transformers",78447718,121,1714860817,determining contents decoderhiddenstates t5forconditionalgeneration,nan,determining contents decoderhiddenstates t5forconditionalgeneration nan
78397201,Extracting only technical keywords from a text using RAKE library in Python,,"python,python-3.x,nlp,nltk,rake",78406317,328,1714283530,extracting technical keywords text using rake library python,nan,extracting technical keywords text using rake library python nan
78394225,Langchain sql agent with context,,"text,nlp,langchain",78402358,1083,1714204199,langchain sql agent context,nan,langchain sql agent context nan
78393709,Performance of textSimilarity() from R&#39;s text library,,"r,performance,nlp,huggingface-transformers",78407238,248,1714187758,performance textsimilarity r39s text library,nan,performance textsimilarity r39s text library nan
78383619,How to Generate Text with Specific Length Using AI API,,"python,nlp,openai-api,text-generation",78383634,237,1714037456,generate text specific length using ai api,nan,generate text specific length using ai api nan
78375631,ValueError: Cannot use a compiled regex as replacement pattern with regex=False,,"python,text,nlp",78375724,333,1713923527,valueerror use compiled regex replacement pattern regexfalse,nan,valueerror use compiled regex replacement pattern regexfalse nan
78371741,No Attention returned even when output_attentions= True,,"nlp,huggingface-transformers,bert-language-model,transformer-model,attention-model",78492414,424,1713869330,attention returned even outputattentions true,nan,attention returned even outputattentions true nan
78365608,Fine-tuning BERT with deterministic masking instead of random masking,,"nlp,huggingface-transformers,bert-language-model",78510287,345,1713782345,finetuning bert deterministic masking instead random masking,nan,finetuning bert deterministic masking instead random masking nan
78344999,Stanford NLP Annotation pipeline.annotate resulting into OutOfMemoryError in Java,,"java,nlp,out-of-memory",78345170,26,1713417210,stanford nlp annotation pipelineannotate resulting outofmemoryerror java,nan,stanford nlp annotation pipelineannotate resulting outofmemoryerror java nan
78344850,How to tag words that not include one specific symbol in Spacy?,,"python,nlp,pattern-matching,spacy",78348925,31,1713414070,tag words include one specific symbol spacy,nan,tag words include one specific symbol spacy nan
78324647,Sklearm FeatureHasher not working on a single column in a dataframe,,"pandas,machine-learning,scikit-learn,nlp",78324733,111,1713115217,sklearm featurehasher working single column dataframe,nan,sklearm featurehasher working single column dataframe nan
78317989,Is it possible to fine-tune a pretrained word embedding model like vec2word?,,"python,nlp,artificial-intelligence,word2vec,word-embedding",78323755,1350,1712944676,possible finetune pretrained word embedding model like vec2word,nan,possible finetune pretrained word embedding model like vec2word nan
78314842,R Tidymodels textrecipes - tokenizing with spacyR - how to remove punctuations from produced list of tokens,,"r,nlp,spacy,tidymodels",78317136,90,1712907594,r tidymodels textrecipes tokenizing spacyr remove punctuations produced list tokens,nan,r tidymodels textrecipes tokenizing spacyr remove punctuations produced list tokens nan
78307073,"LangChain agent parsing error with structured_chat_agent and Wikipedia tool, handle_parsing_errors hits limit",,"python,nlp,openai-api,langchain,large-language-model",78316386,2640,1712782354,langchain agent parsing error structuredchatagent wikipedia tool handleparsingerrors hits limit,nan,langchain agent parsing error structuredchatagent wikipedia tool handleparsingerrors hits limit nan
78294720,"Error when calling Hugging Face load_dataset(&quot;glue&quot;, &quot;mrpc&quot;)",,"python,nlp,huggingface,huggingface-datasets",78310683,456,1712604073,error calling hugging face loaddatasetquotgluequot quotmrpcquot,nan,error calling hugging face loaddatasetquotgluequot quotmrpcquot nan
78285447,What&#39;s inside inner vertices in Word2Vec Hierarchical Softmax?,,"machine-learning,nlp,word2vec,hierarchical,softmax",78313102,148,1712427341,what39s inside inner vertices word2vec hierarchical softmax,nan,what39s inside inner vertices word2vec hierarchical softmax nan
78285241,Extracting dates from a sentence in spaCy,,"python,regex,nlp,spacy,named-entity-recognition",78285614,79,1712423559,extracting dates sentence spacy,nan,extracting dates sentence spacy nan
78284866,What is the best function/stage to use tokenizer in Pytorch&#39;s data processing?,,"pytorch,nlp",78324875,1651,1712416485,best functionstage use tokenizer pytorch39s data processing,nan,best functionstage use tokenizer pytorch39s data processing nan
78266192,Python Spacy Pattern- How to tag a word based on another word?,,"python,nlp,spacy",78266459,47,1712131629,python spacy pattern tag word based another word,nan,python spacy pattern tag word based another word nan
78262529,Gensim&#39;s Doc2Vec with documents in multiple languages,,"python,nlp,gensim,recommendation-engine,doc2vec",78318248,142,1712072850,gensim39s doc2vec documents multiple languages,nan,gensim39s doc2vec documents multiple languages nan
78258373,Get previous sentence while using SpaCy matcher,,"python,nlp,spacy",78259079,50,1712016891,get previous sentence using spacy matcher,nan,get previous sentence using spacy matcher nan
78241665,"How to detect if two sentences are simmilar, not in meaning, but in syllables/words?",,"search,nlp,full-text-search,similarity,sentence-similarity",78259030,126,1711678118,detect two sentences simmilar meaning syllableswords,nan,detect two sentences simmilar meaning syllableswords nan
78240828,Is BertForSequenceClassification using the CLS vector?,,"nlp,huggingface-transformers,bert-language-model",78464905,216,1711659257,bertforsequenceclassification using cls vector,nan,bertforsequenceclassification using cls vector nan
78219076,How to remove layers in Huggingface&#39;s transformers GPT2 pre-trained models?,,"python,machine-learning,deep-learning,nlp,transformer-model",78219403,345,1711369695,remove layers huggingface39s transformers gpt2 pretrained models,nan,remove layers huggingface39s transformers gpt2 pretrained models nan
78211318,How can i get the first content of a python synsets list?,,"python,nlp,nltk,sentiment-analysis,synset",78211341,43,1711205598,get first content python synsets list,nan,get first content python synsets list nan
78184077,Solution to solve problem different results when run Doc2vec gensim?,,"nlp,doc2vec",78186747,43,1710818417,solution solve problem different results run doc2vec gensim,nan,solution solve problem different results run doc2vec gensim nan
78157864,How to optimize the function which uses looping on lists on pandas dataframe?,,"python,python-3.x,pandas,list,nlp",78158348,94,1710384992,optimize function uses looping lists pandas dataframe,nan,optimize function uses looping lists pandas dataframe nan
78140912,SpaCy: Regex pattern does not work in rule-based matcher,,"python,nlp,spacy,named-entity-recognition",78166068,97,1710163199,spacy regex pattern work rulebased matcher,nan,spacy regex pattern work rulebased matcher nan
78136056,Torchtext functions in Newest version analogue,,"nlp,version,torchtext",78151058,157,1710077818,torchtext functions newest version analogue,nan,torchtext functions newest version analogue nan
78129126,TypeError: Exception encountered when calling layer &#39;embeddings&#39; (type TFBertEmbeddings),,"tensorflow,deep-learning,nlp,bert-language-model,transformer-model",78135776,1386,1709916511,typeerror exception encountered calling layer 39embeddings39 type tfbertembeddings,nan,typeerror exception encountered calling layer 39embeddings39 type tfbertembeddings nan
78091661,How to apply a linear layer atop a sentence transformer,,"python,pytorch,nlp,bert-language-model",78093583,530,1709360446,apply linear layer atop sentence transformer,nan,apply linear layer atop sentence transformer nan
78060804,How to get the SHAP value per class?,,"machine-learning,deep-learning,nlp,shap,xai",78068645,287,1708949334,get shap value per class,nan,get shap value per class nan
78039417,Questions about training LLMs on large text datasets for text generation from scratch,,"python,tensorflow,deep-learning,nlp,tf.data.dataset",78132351,470,1708590835,questions training llms large text datasets text generation scratch,nan,questions training llms large text datasets text generation scratch nan
78031519,"How to resolve ValueError: You should supply an encoding or a list of encodings to this method that includes input_ids, but you provided [&#39;label&#39;]",,"nlp,huggingface-transformers,huggingface-tokenizers,peft",78032173,4460,1708488681,resolve valueerror supply encoding list encodings method includes inputids provided 39label39,nan,resolve valueerror supply encoding list encodings method includes inputids provided 39label39 nan
78031203,What and how LLM is used for ranking organization job title?,,"nlp,bert-language-model,large-language-model,nlp-question-answering",78031704,64,1708481030,llm used ranking organization job title,nan,llm used ranking organization job title nan
78006552,Shorten product title to a specific length using python nlp libraries,,"python,string,nlp,nltk,e-commerce",78006769,111,1708078154,shorten product title specific length using python nlp libraries,nan,shorten product title specific length using python nlp libraries nan
77965060,Key matrix redundant in Transformer language models?,,"nlp,transformer-model",78476753,94,1707430461,key matrix redundant transformer language models,nan,key matrix redundant transformer language models nan
77963718,Are [INST] and [/INST] needed for mistral chat?,,"nlp,mistral-7b",78012177,3107,1707413566,inst inst needed mistral chat,nan,inst inst needed mistral chat nan
77951208,Extracting and Identifying locations with NLP + Spacy,,"nlp,spacy,named-entity-recognition",78023173,1110,1707258852,extracting identifying locations nlp spacy,nan,extracting identifying locations nlp spacy nan
77940890,Google semantic retriever example error &#39;Credentials&#39; object has no attribute &#39;universe_domain&#39;,,"google-cloud-platform,nlp,artificial-intelligence,large-language-model,google-ai-platform",77941990,116,1707135631,google semantic retriever example error 39credentials39 object attribute 39universedomain39,nan,google semantic retriever example error 39credentials39 object attribute 39universedomain39 nan
77935492,What is the TREC 2006 Spam Track Public Corpora Format?,,"nlp,spam-prevention",77957097,129,1707044324,trec 2006 spam track public corpora format,nan,trec 2006 spam track public corpora format nan
77933640,How to calculate the weighted sum of last 4 hidden layers using Roberta?,,"python,machine-learning,deep-learning,nlp,huggingface-transformers",77952168,329,1706992476,calculate weighted sum last 4 hidden layers using roberta,nan,calculate weighted sum last 4 hidden layers using roberta nan
77906649,Why token embedding different from the embedding by the BartForConditionalGeneration model,,"machine-learning,pytorch,nlp,huggingface-transformers,bart",77909164,127,1706620714,token embedding different embedding bartforconditionalgeneration model,nan,token embedding different embedding bartforconditionalgeneration model nan
77903080,Finding embedding dimentions of the HuggingFace model,,"nlp,huggingface-transformers,llama-index,faiss",77947340,2588,1706569086,finding embedding dimentions huggingface model,nan,finding embedding dimentions huggingface model nan
77886445,I am unable to produce rearch results from google/youtube in my speech recognition code,,"python,nlp,artificial-intelligence,speech-recognition,google-text-to-speech",77886899,40,1706274110,unable produce rearch results googleyoutube speech recognition code,nan,unable produce rearch results googleyoutube speech recognition code nan
77868284,combining falcon 40b instruct with langchain,,"nlp,chatbot,langchain,large-language-model,falcon",77870500,327,1706031797,combining falcon 40b instruct langchain,nan,combining falcon 40b instruct langchain nan
77846486,BERTopic: &quot;Make sure that the iterable only contains strings&quot;,,"python,python-3.x,nlp,topic-modeling",77847778,940,1705671419,bertopic quotmake sure iterable contains stringsquot,nan,bertopic quotmake sure iterable contains stringsquot nan
77839628,Loading en_core_web_sm results in AttributeError: module &#39;transformers&#39; has no attribute &#39;BertTokenizerFast&#39;,,"python,pip,nlp,anaconda,spacy",77839778,284,1705583082,loading encorewebsm results attributeerror module 39transformers39 attribute 39berttokenizerfast39,nan,loading encorewebsm results attributeerror module 39transformers39 attribute 39berttokenizerfast39 nan
77835506,Truncate texts in the middle for Bert,,"nlp,token,tokenize,bert-language-model",77836475,245,1705525510,truncate texts middle bert,nan,truncate texts middle bert nan
77830490,Spacy import error: cannot import name &#39;COMBINING_DIACRITICS&#39; from &#39;spacy.lang.char_classes&#39;,,"python,pip,nlp,spacy,pydantic",77835083,234,1705475034,spacy import error import name 39combiningdiacritics39 39spacylangcharclasses39,nan,spacy import error import name 39combiningdiacritics39 39spacylangcharclasses39 nan
77828572,What is sent to the llm when using a chat model?,,"nlp,langchain",77828779,158,1705437174,sent llm using chat model,nan,sent llm using chat model nan
77823105,I am classifying each word in a sentence (Named Entity Recognition) but I receive ...an unexpected keyword argument &#39;grouped_entities&#39;,,"python,nlp,google-cloud-colab-enterprise",77825273,173,1705369654,classifying word sentence named entity recognition receive unexpected keyword argument 39groupedentities39,nan,classifying word sentence named entity recognition receive unexpected keyword argument 39groupedentities39 nan
77822202,How to add a dense layer on top of SentenceTransformer?,,"python,nlp,huggingface-transformers,sentence-transformers",77822253,488,1705350580,add dense layer top sentencetransformer,nan,add dense layer top sentencetransformer nan
77805776,How to calculate word and sentence embedding using Roberta?,,"python,machine-learning,nlp,huggingface-transformers,transformer-model",77812267,2468,1705053901,calculate word sentence embedding using roberta,nan,calculate word sentence embedding using roberta nan
77800331,How to Find Positional embeddings from BARTTokenizer?,,"pytorch,nlp,huggingface-transformers,summarization,bart",77800561,549,1704978795,find positional embeddings barttokenizer,nan,find positional embeddings barttokenizer nan
77784846,How to find similar sounding words?,,"python,nlp,nltk",77784921,211,1704783458,find similar sounding words,nan,find similar sounding words nan
77774499,How to save Keras TextVectorization layer configuration with custom standardization function into a pickle file and reload it?,,"python,tensorflow,keras,nlp",77788582,464,1704655309,save keras textvectorization layer configuration custom standardization function pickle file reload,nan,save keras textvectorization layer configuration custom standardization function pickle file reload nan
77748737,How to calculate word and sentence embedding using GPT-2?,,"python,machine-learning,nlp,huggingface-transformers,transformer-model",77751619,1683,1704232552,calculate word sentence embedding using gpt2,nan,calculate word sentence embedding using gpt2 nan
