question_id,title,description,tags,accepted_answer_id,view_count,creation_date
78129126,TypeError: Exception encountered when calling layer &#39;embeddings&#39; (type TFBertEmbeddings),,"tensorflow,deep-learning,nlp,bert-language-model,transformer-model",78135776,1386,1709916511
78091661,How to apply a linear layer atop a sentence transformer,,"python,pytorch,nlp,bert-language-model",78093583,530,1709360446
78060804,How to get the SHAP value per class?,,"machine-learning,deep-learning,nlp,shap,xai",78068645,287,1708949334
78039417,Questions about training LLMs on large text datasets for text generation from scratch,,"python,tensorflow,deep-learning,nlp,tf.data.dataset",78132351,470,1708590835
78031519,"How to resolve ValueError: You should supply an encoding or a list of encodings to this method that includes input_ids, but you provided [&#39;label&#39;]",,"nlp,huggingface-transformers,huggingface-tokenizers,peft",78032173,4460,1708488681
78031203,What and how LLM is used for ranking organization job title?,,"nlp,bert-language-model,large-language-model,nlp-question-answering",78031704,64,1708481030
78006552,Shorten product title to a specific length using python nlp libraries,,"python,string,nlp,nltk,e-commerce",78006769,111,1708078154
77965060,Key matrix redundant in Transformer language models?,,"nlp,transformer-model",78476753,94,1707430461
77963718,Are [INST] and [/INST] needed for mistral chat?,,"nlp,mistral-7b",78012177,3107,1707413566
77951208,Extracting and Identifying locations with NLP + Spacy,,"nlp,spacy,named-entity-recognition",78023173,1110,1707258852
77940890,Google semantic retriever example error &#39;Credentials&#39; object has no attribute &#39;universe_domain&#39;,,"google-cloud-platform,nlp,artificial-intelligence,large-language-model,google-ai-platform",77941990,116,1707135631
77935492,What is the TREC 2006 Spam Track Public Corpora Format?,,"nlp,spam-prevention",77957097,129,1707044324
77933640,How to calculate the weighted sum of last 4 hidden layers using Roberta?,,"python,machine-learning,deep-learning,nlp,huggingface-transformers",77952168,329,1706992476
77906649,Why token embedding different from the embedding by the BartForConditionalGeneration model,,"machine-learning,pytorch,nlp,huggingface-transformers,bart",77909164,127,1706620714
77903080,Finding embedding dimentions of the HuggingFace model,,"nlp,huggingface-transformers,llama-index,faiss",77947340,2588,1706569086
77886445,I am unable to produce rearch results from google/youtube in my speech recognition code,,"python,nlp,artificial-intelligence,speech-recognition,google-text-to-speech",77886899,40,1706274110
77868284,combining falcon 40b instruct with langchain,,"nlp,chatbot,langchain,large-language-model,falcon",77870500,327,1706031797
77846486,BERTopic: &quot;Make sure that the iterable only contains strings&quot;,,"python,python-3.x,nlp,topic-modeling",77847778,940,1705671419
77839628,Loading en_core_web_sm results in AttributeError: module &#39;transformers&#39; has no attribute &#39;BertTokenizerFast&#39;,,"python,pip,nlp,anaconda,spacy",77839778,284,1705583082
77835506,Truncate texts in the middle for Bert,,"nlp,token,tokenize,bert-language-model",77836475,245,1705525510
77830490,Spacy import error: cannot import name &#39;COMBINING_DIACRITICS&#39; from &#39;spacy.lang.char_classes&#39;,,"python,pip,nlp,spacy,pydantic",77835083,234,1705475034
77828572,What is sent to the llm when using a chat model?,,"nlp,langchain",77828779,158,1705437174
77823105,I am classifying each word in a sentence (Named Entity Recognition) but I receive ...an unexpected keyword argument &#39;grouped_entities&#39;,,"python,nlp,google-cloud-colab-enterprise",77825273,173,1705369654
77822202,How to add a dense layer on top of SentenceTransformer?,,"python,nlp,huggingface-transformers,sentence-transformers",77822253,488,1705350580
77805776,How to calculate word and sentence embedding using Roberta?,,"python,machine-learning,nlp,huggingface-transformers,transformer-model",77812267,2468,1705053901
77800331,How to Find Positional embeddings from BARTTokenizer?,,"pytorch,nlp,huggingface-transformers,summarization,bart",77800561,549,1704978795
77784846,How to find similar sounding words?,,"python,nlp,nltk",77784921,211,1704783458
77774499,How to save Keras TextVectorization layer configuration with custom standardization function into a pickle file and reload it?,,"python,tensorflow,keras,nlp",77788582,464,1704655309
77748737,How to calculate word and sentence embedding using GPT-2?,,"python,machine-learning,nlp,huggingface-transformers,transformer-model",77751619,1683,1704232552
77746423,Find vocab word from vector for flexible comparisons,,"nlp,spacy",77747182,30,1704202631
77684999,GooglePalm(). NotImplementedError: Need to determine which default deprecation schedule to use. within ?? minor releases,,"nlp,langchain,large-language-model,palm-pre",77694822,470,1702986818
77681471,Unable to tag the POS of the text file,,"python,nlp,tagging,huggingface,flair",77681791,37,1702929737
77676747,Google Colab unable to Hugging Face model,,"python,nlp,google-colaboratory,huggingface-transformers,bert-language-model",77686737,1185,1702868855
77673353,How to use adapter transformers with a Huggingface Pipeline,,"python,machine-learning,nlp,huggingface-transformers",77675813,899,1702788568
77661152,Sentence Similarity between a phrase with 2-3 words and documents with multiple sentences,,"nlp,word-embedding,sentence-similarity,sentence-transformers",77666884,306,1702566577
77653666,Import error in training arguments in Colaboratory,,"python,nlp,huggingface",77653714,772,1702471266
77651770,How to Load the pre-trained word embeddings in .npy files,,"python,nlp,word-embedding",77654014,367,1702452860
77640950,Logistic Regression gradually tends to predict all 0s while training on mini batches,,"regression,classification,binary-data,nlp",77644113,58,1702302610
77639714,Big Query - Case Statements and Apostrophe&#39;s,,"sql,google-cloud-platform,google-bigquery,nlp",77639946,106,1702298923
77621022,Insert dots/points in messy string for textual analysis in python,,"python,nlp,sentence",77621197,56,1701961067
77615264,Why does OpenNLP CLI output &quot;SLF4J: Failed to load class &quot;org.slf4j.impl.StaticLoggerBinder&quot; on Windows?,,"java,nlp,slf4j,opennlp",77630535,173,1701884837
77609784,How to make stanza lemmatizer to return just the lemma instead of a dictionary?,,"python,nlp,stanford-nlp,lemmatization",77609905,432,1701819030
77594086,How to run a NLP+Transformers LLM on low memory GPUs?,,"python,nlp,gpu,huggingface-transformers,huggingface-tokenizers",77600312,1078,1701603145
77586902,Attention Layer changing Batch Size at inference,,"tensorflow,keras,deep-learning,nlp,sequence",77676552,299,1701449794
77579658,Pretrained model with stride doesn’t predict long text,,"python,nlp,huggingface-transformers",77580891,543,1701358093
77563897,Bert topic clasiffying over a quarter of documents in outlier topic -1,,"python,nlp,bert-language-model,topic-modeling",77565599,1108,1701174746
77563423,Modifying the sentiment of certain words in tidytext get_sentiments(),,"r,machine-learning,dplyr,nlp,tidytext",77564182,65,1701170019
77560044,spaCy displacy output using anvil.works server,,"python,jupyter-notebook,nlp,spacy,displacy",77562648,90,1701120571
77546477,How to build a model and train it with tensorflow keras sub classing,,"python-3.x,tensorflow,keras,deep-learning,nlp",77554281,63,1700880570
77544604,Importing deepspeech error: Module not found,,"python,deep-learning,nlp,mozilla-deepspeech",77547213,255,1700844483
77544203,How to Integrate Custom OpenAIModel into a AutoModelForSequenceClassification Model?,,"python,pytorch,nlp,huggingface-transformers,huggingface",77547197,92,1700839598
77540677,Clearing context window of LLM in Huggingface,,"nlp,huggingface-transformers,transformer-model,huggingface,large-language-model",77541156,1290,1700799090
77533488,NLP pre-processing on two columns in data frame gives error,,"python,pandas,dataframe,nlp,nltk",77538239,131,1700693657
77511368,LLM slow inference even on A100 GPU,,"nlp,gpu,huggingface-transformers,large-language-model",77592933,1402,1700407905
77491934,Is this right way to merge LoRA weights?,,"pytorch,nlp,huggingface-transformers",77501731,8803,1700101226
77484087,unable to map color onto a network graph from an additional variable using ggraph,,"r,nlp,visualization,ggraph",77486152,71,1699999197
77480710,R: stm + searchK fails to determine the optimal number of topics,,"r,nlp,topic-modeling,quanteda",77481657,422,1699965930
77477871,NLP sentence summarization techniques with python,,"python,algorithm,nlp",77479096,448,1699928958
77461542,Entity Extraction in Rasa,,"machine-learning,nlp,entity,rasa-nlu,rasa-sdk",77463236,422,1699634132
77455738,Finding the nouns in a sentence given the context in Python,,"python,nlp,nltk,textblob",77455927,181,1699556373
77440929,Any alternative of Python Transfomer Package in java?,,"python,java,rest,machine-learning,nlp",77441746,560,1699385079
77433100,How to get perplexity per token rather than average perplexity?,,"machine-learning,pytorch,nlp,huggingface-transformers,perplexity",77433933,1746,1699291820
77432480,Do I need to retrain an NLP model everytime because of incompatible shape after transforming?,,"python,machine-learning,scikit-learn,nlp,xgboost",77432754,45,1699286277
77427999,Custom spaCy tagger to tag all words that are in a dictionary,,"python,nlp,spacy,pos-tagger",77429721,184,1699225654
77386212,How to make named entity recognition provide better categorization of data,,"nlp,spacy,large-language-model",77408625,359,1698640132
77382923,"Laptop stopped when training a pytorch lstm model, while tensorflow counterpart works",,"python,deep-learning,pytorch,nlp",77384658,76,1698576101
77373522,How does an instance of pytorch&#39;s `nn.Linear()` process a tuple of tensors?,,"python,machine-learning,pytorch,nlp,transformer-model",77373814,177,1698403407
77347287,What components of spaCy Pipeline can be disabled so that the sentence tokenization can still work and the pipeline be faster?,,"python,nlp,spacy",77350022,491,1698082834
77341456,Why does my transformer model have more parameters than the Huggingface implementation?,,"machine-learning,pytorch,nlp,huggingface-transformers,huggingface",77341769,754,1698003798
77337720,How to change the fully connected network in a GPT model on Huggingface?,,"machine-learning,pytorch,nlp,huggingface-transformers,gpt-2",77339487,364,1697920853
77333202,Reverse Index in SQL,,"sql,json,database,postgresql,nlp",77339809,773,1697827940
77327117,How to get most similar words to a tagged document in gensim doc2vec,,"nlp,gensim,cosine-similarity,doc2vec",77327219,53,1697749696
77311999,AttributeError when Initializing a Custom Decoder Class in TensorFlow with Non-Default Tokenizer,,"python,python-3.x,tensorflow,nlp,huggingface-transformers",77593927,171,1697573588
77292726,Feeding my classifier one document at a time,,"python,machine-learning,scikit-learn,nlp,tfidfvectorizer",77294107,59,1697284742
77278868,Get page number of certain string using pdfminer,,"python,pdf,nlp,pdfminer",77278901,531,1697098665
77265396,How does SQLDatabase Chain work internally? (Langchain),,"nlp,langchain",77266382,1123,1696937491
77258294,CompressFastText pqkmeans does not install,,"python,machine-learning,pip,nlp,fasttext",77270016,85,1696849565
77248199,How to convert Doccano exported JSONL format to spaCy format？,,"nlp,spacy,named-entity-recognition,doccano",77275727,840,1696647305
77248165,What does the vocabulary of a pre-trained / fine-tuned T5 model look like?,,"python,pytorch,nlp,huggingface-transformers",77248234,650,1696646103
77247941,Summarizing n-grams efficiently in Python on big data,,"python,pandas,dataframe,nlp,n-gram",77266470,284,1696639488
77240878,Tokenizing and summarizing Textual data by group efficiently in Python,,"python,pandas,dataframe,nlp,gensim",77242709,62,1696544199
77237818,How to load a huggingface pretrained transformer model directly to GPU?,,"python,nlp,huggingface-transformers",77238046,58331,1696514260
77217287,"In GCP&#39;s DocumentAI, when importing documents via API, is it possible to add a Document Type label?",,"machine-learning,google-cloud-platform,nlp,cloud-document-ai",77303713,617,1696266408
77210103,Why am I getting Hidden size error with PyTorch RNN,,"deep-learning,pytorch,nlp,recurrent-neural-network,one-hot-encoding",77210305,140,1696156480
77210041,troubleshooting PyTorch and Hugging Face&#39;s Pre-trained deBerta Model on Windows 11 with an RTX 3070 GPU,,"pytorch,nlp,gpu,huggingface-transformers,huggingface-tokenizers",77222088,520,1696155310
77182740,Is there a way to measure the margins of a pdf file using image processing in python?,,"python,pdf,image-processing,nlp,html-content-extraction",77183028,679,1695754668
77182311,Question about data_collator throwing a key error in Hugging face,,"python,pytorch,nlp,huggingface-transformers,huggingface-tokenizers",77182746,1011,1695750166
77178058,How to Set Safety Parameters for Text Generation Model in Google Cloud Vertex AI?,,"python,machine-learning,nlp,google-cloud-vertex-ai,large-language-model",77181428,2558,1695715118
77174018,Getting `TypeError: issubclass() arg 1 must be a class` when trying to load `nlp = spacy.load(&quot;en_ner_bc5cdr_md&quot;)`,,"python,tensorflow,machine-learning,nlp,spacy",77174910,863,1695656230
77152888,HuggingFacePipeline and Langchain,,"nlp,langchain,huggingface",77162814,3020,1695321962
77148560,"Python API usage for coreference, semantic graph and NERC",,"python,nlp,named-entity-recognition,freeling",77155932,50,1695285773
77145360,looking for an efficient way to split columns in a text in pandas,,"python,pandas,nlp",77145443,64,1695237278
77123153,How to download the Spacy en_core_web_sm model?,,"machine-learning,debugging,nlp,spacy",77123481,350,1694975985
77116207,What is the correct approach to evaluate Huggingface models on the masked language modeling task?,,"machine-learning,nlp,huggingface-transformers,huggingface",77118113,419,1694833685
77113484,AIML chatbot not learning from aiml file,,"python,nlp,chatbot,aiml",77127051,74,1694790460
77107744,Use NLP (NLTK) to identify groups of phrases in a python dataframe,,"python,pandas,machine-learning,nlp,nltk",77112903,333,1694718289
77094149,How to use both gpus in kaggle for training in pytorch?,,"machine-learning,deep-learning,nlp,gpu,kaggle",77728508,4058,1694580984
77093345,How to get Enhanced++ dependency labels with a java command line in the terminal?,,"java,nlp,stanford-nlp",77212591,84,1694563972
77091208,PyTorch SimCSE loss implementation,,"python,machine-learning,pytorch,nlp",77097615,596,1694537544
77085879,LIME gives this error &quot;classifier models without probability scores&quot; in python,,"python,nlp,lime",77093884,639,1694488453
77084206,How can I enhance morphological information for English models in spaCy?,,"nlp,pos-tagger,spacy-3",77102380,331,1694459134
77082604,error inserting spacy.tokens.span.Span into pandas dataframe,,"python,dataframe,nlp,spacy,spacy-3",77171874,54,1694443289
77074676,ImportError: cannot import name &#39;deprecated&#39; from &#39;typing_extensions&#39;,,"python,pip,nlp,spacy,python-typing",77075595,59372,1694314709
77074094,Dataloader/sampler/collator to create batches based on the sample contents (sequence length),,"python,pytorch,nlp,batch-processing,dataloader",77075337,608,1694294897
77068488,How to Efficiently Convert a Markdown Table to a DataFrame in Python?,,"python,nlp,markdown",77068592,6114,1694190084
77068054,Training difficulties on Transformer seq2seq task using pytorch,,"machine-learning,pytorch,nlp,transformer-model,formal-languages",77069904,489,1694186090
